Optimal distillation block count	Optimal data protocol	Optimal time	Optimal physical qubit count
11	Fast	36.123046875	56877.67681483094
11	Fast	56.1613890234375	57527.42853543081
11	Fast	84.17763	58176.0
11	Fast	122.3292174609375	69035.84996153392
11	Fast	173.128606875	69794.43880583507
11	Fast	239.4700927734375	70551.82177937037
11	Fast	324.65664	71308.05020898527
11	Fast	432.4267149609375	72063.17188052082
11	Fast	566.981116875	72817.23137166699
11	Fast	733.0098090234375	73570.27034563762
11	Fast	935.71875	74322.32781115943
9	Fast	1443.2693305078124	78443.42194829974
9	Fast	1802.4626606250001	79313.47868969076
8	Fast	2508.3988019384765	75870.51690046862
8	Fast	3075.92802	76738.57191140314
8	Fast	3741.617202758789	77605.67705671603
8	Fast	4517.656256953125	78471.86382855436
8	Fast	5417.202833657227	79337.1620164288
7	Fast	7376.479109999999	75889.59983336805
7	Fast	8736.58198672433	76753.20403030355
7	Fast	10290.005859375	77616.0
4	Fast	21099.10889012695	75239.55444452589
4	Fast	24600.91392	76228.23512446701
4	Fast	28552.403082392575	77216.0671268883
4	Fast	32995.50610640625	78203.07436087193
4	Fast	37974.67849731445	79189.27963353136
3	Fast	58049.300429999996	75224.70471983252
3	Fast	66309.49999652343	76209.37042682817
3	Fast	75483.470761875	77193.2966528421
3	Fast	85644.94135183594	78176.5024420802
3	Fast	96871.5	79159.006035093
3	Intermediate	148970.03581230468	71550.0
3	Intermediate	167522.894634375	72450.0
3	Intermediate	187878.47284511718	73350.0
3	Intermediate	210164.96654999998	74250.0
3	Intermediate	234516.5057373047	75150.0
3	Intermediate	261073.288434375	76050.0
2	Compact	521967.08675496094	64256.0
2	Compact	578510.13888	65024.0
2	Compact	639847.6483046485	65792.0
